num_distr	mouse.time	mouse.clicked_name				RT	
10	[2.912049125006888]	['target']		2.912049125006888		2.912049125	
5	[2.0850412500003586]	['target']		2.0850412500003586		2.08504125	
5	[2.820364042010624]	['target']		2.820364042010624		2.820364042	
10	[2.8639941250003176]	['target']		2.8639941250003176		2.863994125	
10	[2.9561655420111492]	['target']		2.9561655420111492		2.956165542	
10	[1.4459824999939883]	['target']		1.4459824999939883		1.4459825	
5	[1.4085389159881743]	['target']		1.4085389159881743		1.408538916	
10	[2.507394041007501]	['target']		2.507394041007501		2.507394041	
10	[2.0357475829951]	['target']		2.0357475829951		2.035747583	
5	[1.5354577919933945]	['target']		1.5354577919933945		1.535457792	
10	[3.7975765829905868]	['target']		3.7975765829905868		3.797576583	
5	[1.9847566669923253]	['target']		1.9847566669923253		1.984756667	
10	[2.197414124995703]	['target']		2.197414124995703		2.197414125	
10	[1.7457989579997957]	['target']		1.7457989579997957		1.745798958	
5	[1.966897374994005]	['target']		1.966897374994005		1.966897375	
10	[1.974730041998555]	['target']		1.974730041998555		1.974730042	
5	[3.1090187919908203]	['target']		3.1090187919908203		3.109018792	
5	[1.4202819999918574]	['target']		1.4202819999918574		1.420282	
5	[2.1372612080012914]	['target']		2.1372612080012914		2.137261208	
10	[1.9972240420029266]	['target']		1.9972240420029266		1.997224042	
10	[2.3898062920052325]	['target']		2.3898062920052325		2.389806292	
10	[1.802012084008311]	['target']		1.802012084008311		1.802012084	
10	[2.3786568329960573]	['target']		2.3786568329960573		2.378656833	
5	[1.8177855420071865]	['target']		1.8177855420071865		1.817785542	
10	[2.2647932920081075]	['target']		2.2647932920081075		2.264793292	
10	[4.278727207987686]	['target']		4.278727207987686		4.278727208	
10	[2.8119834170065587]	['target']		2.8119834170065587		2.811983417	
5	[2.3021093329880387]	['target']		2.3021093329880387		2.302109333	
10	[3.7642834580037743]	['target']		3.7642834580037743		3.764283458	
5	[2.017522916998132]	['target']		2.017522916998132		2.017522917	
5	[2.5701068749913247]	['target']		2.5701068749913247		2.570106875	
10	[1.8318927090003854]	['target']		1.8318927090003854		1.831892709	
10	[2.878745042005903]	['target']		2.878745042005903		2.878745042	
5	[1.5847857499902602]	['target']		1.5847857499902602		1.58478575	
5	[1.9701049580035033]	['target']		1.9701049580035033		1.970104958	
5	[2.104346375010209]	['target']		2.104346375010209		2.104346375	
10	[2.1974408749956638]	['target']		2.1974408749956638		2.197440875	
10	[1.9554259170108708]	['target']		1.9554259170108708		1.955425917	
5	[2.1255408330034697]	['target']		2.1255408330034697		2.125540833	
10	[1.7074647910048952]	['target']		1.7074647910048952		1.707464791	
						2.314029	
